CAS Number,Name,Formula,Type,UNIFAC,MW,SG6060,TB,Tc,Pc,Vc,OMEGA,CPA,CPB,CPC,CPD,CPE,HFORM25,GFORM25,GIBBSA,GIBBSB,GIBBSC
10025-87-3,POCl3,POCl3        ,Misc,,153.3300018,1.6853,378.648,602.150,49.600,0.276,0.1898,0.15532,0.00211742,-3.2994E-06,2.27332E-09,-5.72125E-13,-542.25,,-5.42E+02,1.34E-01,0.00E+00
10025-91-9,SbCl3,SbCl3        ,Misc,,228.1300049,3.1682,493.350,521.000,62.700,0.272,0.2650,0.243283,4.86386E-05,-2.05792E-08,5.6928E-19,-1.56656E-22,-32.77,,-3.28E+01,-3.28E+01,-3.28E+01
10026-04-7,SiCl4,SiCl4        ,MISC,,169.8890076,1.4966,330.750,505.997,37.500,0.326,0.2680,0.498569,0.000222064,-9.38331E-08,1.86547E-19,-5.27605E-23,-662.74,,-3.28E+01,-3.28E+01,-3.28E+01
10028-15-6,Ozone,O3           ,MISC,,47.9980011,1.2590,161.850,261.100,55.700,0.089,0.6910,0.427933,0.00166861,-1.30067E-06,3.53555E-10,-1.38862E-21,142.80,163.10,1.42E+02,6.87E-02,-6.78E-07
10028-17-8,tritium,T2,MISC,,6.032,,18.500,55.300,0.308,0.000,0.0000,0,0,0,0,0,0.00,0.00,,,
1002-84-2,C15oicAcid,C15H30O2     ,Misc,CH3 (CH2)13 COOH ,242.401001,0.8637,612.049,766.000,16.000,0.864,1.0398,-0.0631793,0.00648618,-4.49403E-06,1.65259E-09,-2.65062E-13,-699.00,-266.00,-6.99E+02,1.42E+00,1.13E-04
10034-85-2,HI,HI           ,MISC,,127.9000015,2.5462,237.649,424.148,83.086,0.135,0.0490,0.243607,-0.00011165,2.32368E-07,-1.05784E-10,-4.27166E-24,26.38,1.70,2.39E+01,-7.49E-02,0.00E+00
10035-10-6,HBr,HBr          ,MISC,,80.91970062,1.7516,206.348,363.148,85.417,0.110,0.0800,0.378769,-0.000116931,2.12802E-07,-7.70868E-11,6.83395E-23,-36.26,-53.30,-5.32E+01,-7.37E-03,0.00E+00
100-37-8,DiEC2olAmine,C6H15NO      ,Misc,CH2N OH (CH3)2 (CH2)3 ,117.1910019,0.8923,436.150,592.000,31.800,0.401,0.7818,-0.31772,0.0074708,-5.9613E-06,2.55468E-09,-4.5627E-13,-257.50,,-2.58E+02,7.35E-01,6.04E-05
100-40-3,VinylCC6=,C8H12        ,MISC,CH (CH2)3 CH=CH CH2=CH ,108.1800003,0.8350,401.000,599.000,34.300,0.379,0.3294,-0.816785,0.00911552,-8.27586E-06,4.0738E-09,-8.3703E-13,65.10,200.00,6.49E+01,4.39E-01,4.84E-05
100-41-4,E-Benzene,C8H10        ,A,CH3 (ACH)5 ACCH2 ,106.1660004,0.8708,409.350,617.098,36.071,0.374,0.3010,-0.392,0.0066176,-4.5831E-06,1.42418E-09,-1.19368E-13,29.81,130.73,2.74E+01,3.33E-01,3.85E-05
100-42-5,Styrene,C8H8         ,AU,CH2=CH (ACH)5 AC ,104.1520004,0.9097,418.308,636.000,38.400,0.352,0.2971,0.749642,-0.000302914,8.89347E-06,-9.77744E-09,3.17865E-12,147.40,213.80,1.48E+02,2.10E-01,3.55E-05
10043-92-2,radon,Rn,MISC,,222.018,,209.800,377.000,63.000,0.140,0.0000,0.093618535,0,0,0,0,0.00,0.00,,,
100-44-7,BenzylCl,C7H7Cl       ,Misc,AC (ACH)5 CH2Cl ,126.5849991,1.1070,452.550,686.000,39.100,0.360,0.3136,-0.2027,0.0042358,-3.5439E-06,1.5046E-09,-2.58175E-13,18.70,92.40,2.23E+01,2.13E-01,7.34E-05
100-46-9,BenzylAmine,C7H9N        ,Misc,(ACH)5 AC CH2NH2 ,107.1520004,0.9864,457.648,683.500,43.200,0.373,0.4087,-0.433343,0.00697232,-6.13989E-06,2.94378E-09,-5.9377E-13,62.23,171.00,6.25E+01,3.52E-01,4.03E-05
100-47-0,BZ-Nitrile,C7H5N        ,Misc,,103.1240005,1.0009,464.299,699.400,42.200,0.352,0.3620,-0.252769,0.00556208,-4.29861E-06,1.30898E-09,0,218.99,260.87,2.18E+02,1.40E-01,1.59E-05
100-51-6,BZol,C7H8O        ,OL,(ACH)5 ACCH2 OH ,108.1380005,1.0483,478.600,720.200,44.000,0.300,0.3949,-0.0684541,0.00507174,-3.10626E-06,7.1906E-10,0,-100.40,-11.10,-1.00E+02,2.71E-01,3.34E-05
100-52-7,BZal,C7H6O        ,Misc,(ACH)5 AC CHO ,106.1240005,1.0494,451.898,694.799,46.500,0.324,0.3050,-0.114448,0.0046778,-2.68251E-06,4.87172E-10,0,-36.80,22.40,-3.64E+01,1.84E-01,2.71E-05
100-53-8,BZlMercaptan,C7H8S        ,Misc,(ACH)5 AC CH2SH ,124.2070007,1.0617,468.148,712.000,40.600,0.367,0.2993,-0.276101,0.00607284,-5.19924E-06,2.31152E-09,-4.15807E-13,93.14,,9.21E+01,2.31E-01,1.97E-05
100-54-9,NicotNitrile,C6H4N2       ,Misc,,104.1110001,1.1057,474.150,703.000,41.200,0.344,0.4215,-0.68066,0.0074804,-7.8996E-06,4.2052E-09,-9.0275E-13,277.90,,2.77E+02,8.53E-02,1.03E-05
10059-13-9,METHYL-UNDECYL-8ULFIDE,C12H26S,MISC,,202.397,0.8420,552.160,733.680,18.060,0.762,0.6310,0.048844597,0.005651764,-1.31425E-08,6.13003E-10,0,-246.44,85.52,-2.39E-01,1.04E+00,1.65E-07
100-60-7,nMCC6Amine,C7H15N       ,Misc,CH3 (CH2)5 CHNH ,113.2030029,0.8740,422.000,622.000,34.900,0.393,0.3855,-0.48316,0.00710892,-3.21249E-06,-1.20603E-10,3.13349E-13,-103.00,117.00,-1.04E+02,7.24E-01,5.89E-05
100-61-8,n-M-Aniline,C7H9N        ,Misc,(ACH)5 AC CH3NH ,107.1520004,0.9899,469.398,700.000,52.000,0.417,0.4750,-0.16025,0.0054558,-3.0288E-06,5.02836E-10,0,85.41,202.00,8.55E+01,4.06E-01,3.74E-05
100-63-0,PHHydrazine,C6H8N2       ,Misc,,108.1389999,1.0953,516.650,761.000,49.100,0.418,0.5351,-0.529588,0.00747658,-7.36557E-06,3.81692E-09,-8.10945E-13,203.50,321.93,2.03E+02,3.89E-01,3.18E-05
100-64-1,CC6Oxime,C6H11NO      ,Misc,,113.1549988,0.8414,481.148,715.000,46.900,0.369,0.4620,-0.267906,0.00529372,-9.93597E-07,-1.63171E-09,7.18775E-13,-194.00,-22.90,-1.95E+02,5.67E-01,3.96E-05
100-66-3,M-PH-Ether,C7H8O        ,Misc,(ACH)5 AC CH3O ,108.1380005,0.9969,426.799,645.598,41.700,0.337,0.3470,-0.429979,0.0060151,-4.01631E-06,1.0397E-09,0,-83.50,22.63,-8.33E+01,3.19E-01,3.99E-05
100-79-8,Dioxolane,C3H6O2       ,Misc,,74.08000183,1.0685,351.148,500.634,48.834,0.241,0.6941,0.406754,0.00341178,-7.72707E-07,-2.69399E-10,7.5028E-21,-389.60,,-3.90E+02,4.10E-01,0.00E+00
100-80-1,m-MStyrene,C9H10        ,AU,CH2=CH (ACH)4 AC ACCH3 ,118.1790009,0.9155,444.760,674.817,35.576,0.381,0.2802,-0.5097,0.0057906,-2.20706E-06,0,0,115.47,209.28,1.14E+02,3.09E-01,3.71E-05
100-97-0,C6-M=-tAmine,C6H12N4      ,Misc,(CH2)2 (CH2N)4 ,140.1880035,1.3720,554.000,837.000,36.800,0.402,0.2994,-0.14657,0.0057122,-4.0074E-06,1.36792E-09,-1.8125E-13,199.00,,1.98E+02,8.93E-01,4.57E-05
10102-43-9,NO,NO           ,GAS,,30.00600052,0.0714,121.400,180.000,64.700,0.058,0.5880,0.97845,-3.12742E-05,3.25035E-07,-1.3963E-10,0,90.43,86.58,9.03E+01,-1.24E-02,-1.30E-07
10102-44-0,NO2,NO2          ,MISC,,46.00600052,1.4711,294.299,430.997,100.000,0.081,0.8340,0.52668,0.001051808,-4.52616E-07,6.3728E-12,0,33.87,,3.29E+01,6.24E-02,4.23E-07
101-54-2,pAminoDiPHAm,C12H12N2     ,Misc,,184.2400055,0.9807,627.150,867.000,31.900,0.596,0.6940,-0.623384,0.00771442,-7.50741E-06,3.76762E-09,-7.68875E-13,206.00,383.00,2.05E+02,5.84E-01,4.07E-05
101-68-8,DPhC1-44DiCy,C15H10N2O2   ,Misc,,250.2570038,1.2211,609.000,802.000,22.800,0.712,0.9500,-0.16528,0.0046694,-3.2994E-06,1.0498E-09,-1.133E-13,-32.77,0.00,-3.28E+01,-3.28E+01,-3.28E+01
101-81-5,DiPhenylC1,C13H12       ,AB,(ACH)10 ACCH2 AC ,168.2290039,1.0017,537.650,766.629,30.492,0.518,0.4875,-0.456134127,0.006425429,-4.43301E-06,1.1561E-09,0,161.41,167.23,1.62E+02,3.93E-01,5.03E-05
101-83-7,DiCyHxAmine,C12H23N      ,Misc,(CH2)10 CH CHNH ,181.3200073,0.9167,529.000,737.000,25.200,0.619,0.5133,-0.675414,0.00787224,-4.34265E-06,6.56428E-10,1.13624E-13,-185.00,170.45,-1.87E+02,1.17E+00,8.48E-05
101-84-8,diPH-Ether,C12H10O      ,Misc,,170.2100067,1.0598,531.200,765.000,31.300,0.537,0.4400,-0.357009,0.0054568,-3.45096E-06,7.98924E-10,0,49.99,165.00,-3.28E+01,-3.28E+01,-3.28E+01
10192-32-2,1-C24=,C24H48       ,N,CH3 (CH2)21 CH2=CH ,336.6180115,0.7995,663.200,803.320,9.333,1.408,0.9508,0.0475642,0.00610124,-2.71434E-06,2.54886E-10,2.27273E-22,-413.26,,-4.13E+02,2.13E+00,1.74E-04
102-01-2,AAcetanilide,C10H11NO2    ,Misc,,177.2030029,1.1010,592.000,802.999,30.300,0.534,0.8004,-0.503928,0.0065896,-6.39066E-06,3.53831E-09,-8.5215E-13,-274.00,,-2.74E+02,5.74E-01,5.77E-05
102-25-0,135-E-BZ,C12H18       ,A,(ACH)3 (ACCH2)3 (CH3)3 ,162.2740021,0.8670,489.200,682.299,23.300,0.600,0.4790,-0.155296,0.00616932,-3.64404E-06,8.2004E-10,4.90493E-21,-74.72,193.39,-7.88E+01,7.29E-01,6.27E-05
102-36-3,34-ClPh_i-cy,C7H3Cl2NO    ,Misc,,188.0119934,1.4364,501.000,733.000,33.300,0.456,0.3351,-0.48157,0.0065596,-1.00539E-05,7.5776E-09,-2.14955E-12,-2.97,71.90,-1.78E+00,2.38E-01,3.03E-05
102-69-2,Tri-P-Amine,C9H21N       ,Misc,(CH2)5 (CH3)3 CH2N ,143.2720032,0.7622,429.650,577.500,22.300,0.576,0.6994,-0.3773,0.0081716,-6.3378E-06,2.6724E-09,-4.7877E-13,-161.00,133.69,-1.61E+02,9.64E-01,8.22E-05
102-70-5,TriAllylAmin,C9H15N       ,Misc,CH2N (CH2=CH)3 (CH2)2 ,137.2250061,0.8010,423.650,592.000,24.600,0.521,0.4987,-0.12942,0.0051062,-3.7569E-06,1.42448E-09,-2.2409E-13,219.50,,2.25E+02,5.71E-01,1.20E-04
102-71-6,TEAmine,C6H15NO3     ,MISC,(CH2)5 CH2N (OH)3 ,149.1900024,1.1250,633.148,787.427,24.476,0.440,0.9830,-0.106378,0.0038979,-2.02051E-06,0,0,-562.10,-299.93,-5.56E+02,8.13E-01,1.48E-04
102-76-1,GlyTriC2oate,C9H14O6      ,Misc,CH (CH2)2 (CH3COO)3 ,218.2070007,1.1650,532.150,704.000,23.100,0.625,0.8389,-0.395082,0.00696472,-7.19421E-06,3.59362E-09,-6.19565E-13,-1252.69,-983.00,-1.26E+00,8.95E-01,4.62E-05
102-82-9,triButylamin,C12H27N      ,Misc,(CH3)3 (CH2)8 CH2N ,185.3540039,0.7820,486.600,642.000,18.100,0.735,0.6943,0.043149,0.0064676,-3.61863E-06,7.82244E-10,0,-223.48,146.00,-2.23E+02,1.26E+00,9.83E-05
10294-34-5,BCl3,BCl3         ,MISC,,117.1910019,1.3377,285.799,455.000,38.700,0.240,0.1400,0.278262,0.001186094,-1.24667E-06,4.641E-10,-1.71949E-21,-403.10,,-4.03E+02,5.02E-02,0.00E+00
103-03-2,1-NITROPROPANE,C3H7N02,MISC,,89.094,0.9960,404.330,605.000,43.500,0.288,0.4120,0.319942982,0.002925225,2.78122E-07,-1.59427E-09,5.71453E-13,-124.68,0.33,-1.27E-01,4.20E-01,2.55E-08
103-09-3,2-EC6Acetate,C10H20O2     ,MISC,CH (CH2)5 (CH3)2 CH3COO ,172.2680054,0.8781,472.920,642.400,21.700,0.600,0.5992,-0.15126,0.0067904,-5.3613E-06,2.32088E-09,-4.2789E-13,-570.00,-283.00,-5.70E+02,9.39E-01,7.55E-05
103-11-7,2EHxAcrylate,C11H20O2     ,Misc,CH (CH2)5 (CH3)2 CH2=CH COO ,184.279007,0.8895,489.148,655.000,20.700,0.664,0.6730,-0.281307,0.00770688,-7.29624E-06,3.83734E-09,-8.3566E-13,-470.00,-192.00,-4.70E+02,9.14E-01,6.48E-05
103-23-1,Di2C2C6Adipa,C22H42O4     ,MISC,(CH)2 (CH2)12 (CH3)4 (CH2COO)2 ,370.572998,0.9290,690.150,845.000,11.200,1.260,0.8993,-0.37474,0.0080304,-7.7313E-06,4.2044E-09,-9.628E-13,-1157.00,,,2.14E+00,1.51E-04
103-29-7,DiPhenylC2,C14H14       ,AB,(ACH)10 (ACCH2)2 ,182.2700043,0.9592,558.150,773.841,24.880,0.630,0.5414,-0.426018011,0.006452158,-4.39032E-06,1.13242E-09,0,140.77,297.00,1.41E+02,4.89E-01,5.75E-05
103-30-0,t-Stilbene,C14H12       ,AD,(ACH)10 (AC)2 CH=CH ,180.2480011,1.1361,579.650,819.999,27.300,0.578,0.4895,-0.381993,0.00619836,-4.64619E-06,1.67343E-09,-2.33587E-13,241.00,362.00,2.42E+02,4.00E-01,5.14E-05
103-50-4,di-BZ-Ether,C14H14O      ,Misc,(ACH)10 AC ACCH2 CH2O ,198.2640076,1.0484,561.450,777.000,25.600,0.634,0.5907,-0.508688,0.00627934,-4.10775E-06,9.9944E-10,0,19.30,190.00,1.92E+01,5.43E-01,6.35E-05
103-65-1,n-PBenzene,C9H12        ,A,CH3 CH2 (ACH)5 ACCH2 ,120.1940002,0.8656,432.389,638.377,31.998,0.440,0.3444,-0.3466,0.0057656,-2.17382E-06,0,0,7.82,137.58,4.89E+00,4.29E-01,4.40E-05
103-69-5,n-E-Aniline,C8H11N       ,Misc,CH3 (ACH)5 AC CH2NH ,121.1800003,0.9559,476.200,697.000,40.000,0.414,0.4834,-0.12805,0.00556234,-3.09171E-06,5.3432E-10,0,81.55,,8.17E+01,4.45E-01,4.41E-05
103-70-8,Formalinide,C7H7NO       ,Misc,,121.1380005,1.0794,544.150,787.000,41.100,0.382,0.5449,-0.474693,0.00612728,-5.16873E-06,2.0937E-09,-3.23635E-13,-55.20,54.10,-5.48E+01,3.53E-01,3.97E-05
103-71-9,PHIsoCyanate,C7H5NO       ,Misc,,119.1230011,1.1036,438.750,648.000,40.600,0.341,0.4378,-0.232221,0.00482782,-3.47454E-06,1.14152E-09,-1.29775E-13,51.40,116.00,5.16E+01,2.08E-01,2.64E-05
103-73-1,E-PH-Ether,C8H10O       ,Misc,CH3 (ACH)5 AC CH2O ,122.1660004,0.9799,442.000,647.000,34.200,0.400,0.4180,-0.37733,0.00595128,-3.66813E-06,8.23228E-10,0,-104.14,17.35,-1.04E+02,4.14E-01,4.76E-05
103-76-4,(2HydroxyE)P,C6H14N2O     ,Misc,CH2N CH2NH OH (CH2)4 ,130.1900024,1.0653,519.150,711.000,40.300,0.386,0.8334,-0.46331,0.008112,-7.6272E-06,3.89388E-09,-8.318E-13,-163.90,,-1.65E+02,8.90E-01,4.65E-05
103-84-4,Acetanilide,C8H9NO       ,Misc,,135.1660004,1.1083,576.950,825.000,37.300,0.430,0.5646,-0.39343,0.005826,-4.4487E-06,1.78088E-09,-3.2505E-13,-128.50,9.47,-1.28E+02,4.47E-01,4.87E-05
103-90-2,Acetaminophn,C8H9NO2      ,Misc,,151.1649933,0.9111,530.000,736.000,42.600,0.452,0.7997,-0.38188,0.006153,-5.6481E-06,2.7718E-09,-5.698E-13,-286.90,,-2.87E+02,5.16E-01,4.26E-05
10441-57-3,nMTioPyrdone,C5H9NS       ,Misc,,115.1949997,1.3552,557.000,869.000,43.200,0.347,0.2381,-0.463894,0.00583168,-4.65897E-06,2.29684E-09,-5.51465E-13,-195.50,,-1.96E+02,3.82E-01,4.97E-05
104-46-1,Anethole,C10H12O      ,Misc,CH3 CH=CH (AC)2 (ACH)4 CH3O ,148.2050018,0.9924,508.450,723.000,29.000,0.482,0.4846,-0.34493,0.0064472,-5.1864E-06,2.20984E-09,-3.93105E-13,-41.50,101.00,-4.10E+01,4.61E-01,5.18E-05
104-51-8,n-BBenzene,C10H14       ,A,CH3 (CH2)2 (ACH)5 ACCH2 ,134.2220001,0.8640,456.454,660.539,28.868,0.497,0.3930,-0.17127,0.00591108,-3.27516E-06,6.38476E-10,-9.8609E-23,-13.82,145.39,-1.72E+01,5.26E-01,5.02E-05
104-57-4,BZylFormate,C8H8O2       ,Misc,(ACH)5 ACCH2 HCOO ,136.1490021,1.0874,476.148,698.000,35.900,0.397,0.4203,-0.614792,0.00703814,-6.47709E-06,2.87758E-09,-4.30701E-13,-249.30,,-2.50E+02,3.45E-01,3.53E-05
104-72-3,n-Decyl-BZ,C16H26       ,A,(ACH)5 ACCH2 (CH2)8 CH3 ,218.3690033,0.8587,571.098,752.000,17.857,0.850,0.6750,-0.20863,0.00661648,-4.01955E-06,9.37336E-10,5.51265E-20,-137.50,194.97,-1.44E+02,1.08E+00,8.61E-05
104-76-7,2-E-1-C6ol,C8H18O       ,Misc,(CH3)2 (CH2)5 CH OH ,130.2310028,0.8375,457.799,640.200,28.600,0.490,0.5885,-0.11517,0.00664952,-4.05696E-06,9.87348E-10,0,-365.49,-118.88,-3.65E+02,7.91E-01,7.36E-05
10486-19-8,1Tridecanal,C13H26O      ,Misc,CH3 (CH2)11 CHO ,198.3480072,0.8343,540.150,700.000,17.400,0.738,0.7851,-0.0095132,0.00631368,-3.91464E-06,1.16565E-09,-1.26234E-13,-392.00,-41.20,-3.91E+02,1.14E+00,1.00E-04
104-87-0,p-Tolual,C8H8O        ,Misc,CH3 (ACH)4 (AC)2 CHO ,120.151001,1.0173,477.148,697.000,36.700,0.416,0.4422,-0.28083,0.00569548,-4.19226E-06,1.29173E-09,0,-70.70,13.30,-7.01E+01,2.90E-01,3.81E-05
10496-15-8,HEXYL-DISULFIDE,C12H26S2,MISC,,234.457,0.9080,566.660,747.100,18.330,0.816,0.6920,0.066101673,0.005220573,-2.98805E-06,6.84219E-10,0,-240.83,87.49,-2.31E-01,1.01E+00,1.85E-07
105-05-5,14-EBenzene,C10H14       ,A,(CH3)2 (ACH)4 (ACCH2)2 ,134.2220001,0.8656,456.937,657.960,28.026,0.480,0.4044,-0.2853,0.0057658,-2.17382E-06,0,0,-22.27,140.30,-2.55E+01,5.31E-01,5.09E-05
105-08-8,14-CC6DiC1ol,C8H16O2      ,Misc,(OH)2 (CH2)6 (CH)2 ,144.2140045,1.0366,556.150,724.000,35.300,0.445,1.1875,-0.34225,0.0063594,-3.3771E-06,4.2984E-10,1.09795E-13,-469.70,,-4.71E+02,8.22E-01,6.47E-05
105-30-6,2-M-1-C5ol,C6H14O       ,OL,(CH3)2 (CH2)3 CH OH ,102.177002,0.8373,421.148,582.000,32.000,0.380,0.7262,-0.0426424,0.00614544,-3.43131E-06,7.31048E-10,0,-327.14,0.00,-3.27E+02,6.09E-01,6.03E-05
105-34-0,MCyanAcetate,C4H5NO2      ,Misc,CH3 CH2CN COO ,99.08920288,1.1302,478.239,687.000,38.100,0.305,0.5413,-0.16803,0.00522084,-3.99441E-06,4.89772E-10,5.69905E-13,-237.00,-157.00,-2.37E+02,2.63E-01,2.02E-05
105-37-3,E-C3oate,C5H10O2      ,ACID,(CH3)2 CH2 CH2COO ,102.1340027,0.8957,372.200,546.000,33.600,0.345,0.3910,0.19447,0.00395234,-1.40788E-06,-7.24416E-11,0,-470.18,-319.10,-4.69E+02,4.87E-01,5.27E-05
105-38-4,Vinyl-C3oate,C5H8O2       ,Misc,CH3 CH2=CH CH2COO ,100.1110001,0.8245,364.350,546.000,36.700,0.323,0.3357,-0.0653182,0.00510964,-3.26556E-06,7.73872E-10,0,-347.35,-236.76,-3.47E+02,3.78E-01,3.48E-05
105-39-5,EClC2oate,C4H7ClO2     ,Misc,CH3COO CHCl CH3 ,122.5510025,1.1561,417.350,618.000,37.900,0.327,0.3932,-0.259259,0.00570522,-6.24279E-06,3.60115E-09,-8.1693E-13,-468.00,,-4.67E+02,3.69E-01,3.96E-05
10544-72-6,N2O4,N2O4         ,MISC,,92.01100159,1.4648,302.220,431.148,101.320,0.082,1.0074,0.313354,0.0025211,-2.57603E-06,1.2465E-09,-2.32059E-13,9.08,97.85,7.86E+00,-2.33E-02,-6.86E-06
105-45-3,C1AceAcetate,C5H8O3       ,Misc,CH3 CH3CO CH2COO ,116.1169968,1.0805,444.850,642.000,37.100,0.343,0.5078,-0.24042,0.0059512,-5.7654E-06,3.15368E-09,-7.2545E-13,-589.00,-465.00,-5.89E+02,4.05E-01,3.65E-05
105-46-4,sec-B-Acetat,C6H12O2      ,ACID,(CH3)2 CH2 CH CH3COO ,116.1600037,0.8788,385.148,561.000,31.600,0.389,0.4056,-0.316099,0.007076,-5.72676E-06,1.91E-09,0,-503.79,-329.80,-5.04E+02,6.26E-01,4.62E-05
105-53-3,di-E-Malonat,C7H12O4      ,Misc,(CH3)2 CH2 (CH2COO)2 ,160.1690063,1.0607,472.049,652.000,27.800,0.469,0.6108,-0.160099,0.00546582,-3.86196E-06,1.0536E-09,0,-780.98,-578.00,-7.81E+02,5.52E-01,4.77E-05
105-54-4,E-C4oate,C6H12O2      ,ACID,(CH3)2 (CH2)2 CH2COO ,116.1600037,0.8841,394.700,567.000,30.600,0.421,0.4610,0.18529,0.00424524,-1.66939E-06,3.0659E-11,0,-485.48,-312.00,-4.84E+02,5.65E-01,5.93E-05
105-56-6,E-Cy-Acetate,C5H7NO2      ,Misc,CH2 CH3 CH2CN COO ,113.1159973,1.0687,479.150,679.000,33.400,0.358,0.5584,-0.26986,0.0061832,-6.0945E-06,3.13924E-09,-6.53E-13,-316.00,-204.77,-3.16E+02,3.65E-01,2.76E-05
105-57-7,Acetal,C6H14O2      ,Misc,(CH3)3 CH (CH2O)2 ,118.1760025,0.8315,376.750,541.000,29.800,0.402,0.3024,-0.209879,0.00640514,-4.13646E-06,1.01615E-09,0,-453.49,-245.00,-4.53E+02,7.88E-01,6.08E-05
105-58-8,DECarbonate,C5H10O3      ,Misc,CH3 CH2 CH2O COO ,118.1330032,0.9814,399.950,576.000,33.900,0.356,0.4848,-0.126494,0.00538122,-3.6147E-06,1.13116E-09,-1.25946E-13,-639.10,-464.65,-6.39E+02,5.74E-01,4.15E-05
105-59-9,MDEAmine,C5H13NO2     ,MISC,CH3N (CH2)4 (OH)2 ,119.1600037,1.0410,520.400,677.000,37.000,0.313,0.9970,0.41265,0.004695,-2.62988E-06,9.24612E-10,0,-383.46,-169.00,-3.85E+02,7.06E-01,2.97E-05
105-60-2,Caprolactam,C6H11NO      ,Misc,(CH2)3 CH2CO CH2NH ,113.1520004,1.0615,543.150,805.000,47.700,0.402,0.4771,-0.00628005,0.001740266,7.84548E-06,-1.09232E-08,4.28834E-12,-246.20,-71.11,-2.46E+02,1.03E+00,6.33E-05
105-66-8,n-P-C4oate,C7H14O2      ,ES,(CH3)2 (CH2)3 CH2COO ,130.1860046,0.8798,416.200,590.000,27.100,0.460,0.4464,0.10405,0.00505288,-2.46522E-06,2.90696E-10,0,-505.28,-303.00,-5.05E+02,6.63E-01,5.55E-05
105-67-9,24-Xylenol,C8H10O       ,Misc,(ACH)3 (ACCH3)2 ACOH ,122.1660004,0.9808,484.100,707.598,43.600,0.510,0.5133,-0.0339319,0.0053716,-3.30096E-06,7.71176E-10,0,-162.79,-41.07,-1.63E+02,4.17E-01,3.35E-05
105-68-0,i-PentC3oate,C8H16O2      ,Misc,(CH3)3 (CH2)2 CH CH2COO ,144.2140045,0.8708,433.398,611.000,24.600,0.524,0.4520,0.0644893,0.0050311,-2.40845E-06,1.3022E-09,0,-531.01,,-5.34E+02,7.83E-01,4.46E-05
10574-37-5,23M2-pentene,C7H14        ,N,(CH3)4 CH2 C=C ,98.18900299,0.7316,370.549,556.481,30.295,0.408,0.2533,0.042435,0.005682,-2.06219E-06,0,0,-90.17,,-8.98E+01,5.23E-01,5.74E-05
